Commands,Hard Label,Soft Label
go to red room move chair to blue room come back to blue room,1,1
push the bag into the green room and return to the blue room,1,1
go to the chicken go to the green room go to the blue room,1,1
push the object in the red room into the green room then return to the blue room,1,1
push the chair into the green room and then you go back to the blue room,1,1
move to the red room then move to the blue room,1,1
go push the yellow object into the green room then return to purple room,1,1
go to red room and push object to green room and come back to blue room,1,1
move the object to the green room then move to the blue room,1,1
push the object into the green room and then return to the blue room,1,1
enter the pink room push the yellow object into the green room then enter the blue room,1,1
move to pink room push yellow object into green room return to purple room,1,1
go into the red room and push the object into the green room,1,1
go to peach room south three west four go to green room north one south one east four go to purple room,1,1
move to the south side of the bag and push it into the green room,1,1
move south then move to green room,1,1
put toy in green room and return to purple room,1,1
move to the doorway of the green room then go back into the blue room,1,1
take the shortest path so that you are underneath/below the backpack then push the backpack into the green room then take the shortest route back to the initial starting point in the blue room,1,1
push the object from the red room into the green room and then return to the blue room,1,1
go to pink room pick up yellow thing move yellow thing to green room drop yellow thing in green room move to pink room move to blue room,1,1
go to the red room and push the toy into the green room go back to the purple room,1,1
go to the red room move the object to the green room return to the blue room,1,1
go into the red room push the object into the green room and then return to the blue room,1,1
go from the blue room to the red room then push the yellow object into the green room,1,1
push the backpack into the green room then go into the blue room,1,1
go to the pink room push the object into the green room go to the pink room go to the blue room,1,1
go to middle of red room go below yellow object go to green door go to blue room,1,1
move to the red room and push the object to the green room,1,1
move from the blue room and go to pink room push the yellow object in to the green room return to the blue room,1,1
go to red room push item to green room go to blue room,1,1
move to chair move chair to green room move to purple room,1,1
put object into green room and then go back to blue room,1,1
go the red room go behind the yellow object go to the green room go to the blue room,1,1
locate the chair to the green room and return to starting point,1,1
get out of blue room and pick up item in pink room and take it to green room then leave green room and go back to blue room,1,1
go to the pink room go to the chair pick up the chair go to the green room put down the chair go to the blue room,1,1
put backpack in green room and return to blue room,1,1
bring the woman to the green room before going back to the blue room,1,1
push the yellow object into the green room then return to the blue room,1,1
push chair to green room then return to blue room,1,1
go to the green room,1,1
go to the red room push the box into the green room then go back to the blue room,1,1
move to the pink room move to the green room move to the pink room move to the blue room,1,1
go to the red room and move the object to the green room go to the red room go to the blue room,1,1
go from the purple room into the green room pick up the dog and move him into the green room then return to the purple room,1,1
go down take the doll go to green room go down go right enter into the first room,1,1
go to red room push yellow thing into green room return to red room return to blue room,1,1
move to the red room move the object into the green room then go back from the red room to the blue room,1,1
move to the red room then move the yellow object to the green room then move to the blue room,1,1
move to the red room move to the yellow object push the yellow object into the green room move to the red room move to the blue room,1,1
go to red room push dog into green room and return to blue room,1,1
go to the pink room go to the chair go to the green room go to the pink room go to the blue room,1,1
leave the blue room and go to the red room and go behind the object and push it to the green room and leave it there and go to the red room and then go to the blue room,1,1
push the bag into the green room then return to the blue room,1,1
go to the red room push the object into green room go back to red room then re enter blue room,1,1
go from the blue room to the red room then push the yellow object into the green room then go from the red room back to the blue room,1,1
go into the red room push puppy into the green room go back into the red room go to the blue room,1,1
go into the red room push the chair into the green room go back into the red room and enter the blue room,1,1
go to red room push robot to green room go back to blue room,1,1
go to the red room and push the object into the green room go back into the red room and then into the blue room,1,1
go to the red room get the object take it to the green room go to the red room and then back to the blue room,1,1
go to the orange room and push the chair from the orange room into the green room then go back into the orange room then go back to the purple room,1,1
go to the pink room and push the object into the green room before returning to the purple room,1,1
push the chair into the green room and return to the blue room,1,1
move to the red room then grasp the backpack then move to the green room then release the backpack then move to the red room then move to the blue room,1,1
go to the red room move the yellow thing into the green room go to the red room go to the blue room,1,1
go to the red room push the yellow chair to the green room go back to the red room go to the blue room,1,1
go to the red door go to the green door go to the red door go to the blue door,1,1
move from the blue room to the green room move the yellow thing to the green room move to the red room and move to the blue room,1,1
go to pink room locate yellow object push to the green room return to pink room then to blue room,1,1
go to the pink room . go to the yellow chair . push the yellow chair into the green room . go to the pink room . go to the blue room,1,1
go to the pink room and then push the yellow object into the green room then go to the pink room and then go to the purple room,1,1
move to the red room push the chair into the green room go back into the red room and move into the blue room,1,1
go into the red room and push the yellow chair into the green room then come back to blue room,1,1
move to the red room move to the object in the red room move the object to the green room move back to the red room move to the blue room,1,1
go in the red room and push the chair to the green room then come back to blue room,1,1
go to the red room take the yellow color object from there and go to green room with this object . leave the object there and come back to the red room and then to the blue room,1,1
go to the red room go to the green room go to the red room and go to the blue room,1,1
go to red room then under object move it up to the green room then move back to red room then go to the blue room,1,1
go to pink room and move object to green room then return to pink room and finally to purple room,1,1
go to red room and take the toy and go to green room and return go to red room and go to blue room,1,1
move to red room then move west and down and west and down to object and move to green room then move back to red room and then to blue room,1,1
go to the red room then the green room and back to the red room then the blue room,1,1
go into the red room go to the object in the red room push the object into the green room go back to red room then go to blue room,1,1
go to red room move item to green room go to red room go to blue room,1,1
go to the red room take the yellow thing to the green room and then go to back into the red room then go back to the blue room,1,1
move to the red room then move with the object to the green room then move to the red room and then move to the blue room..,1,1
go to the red room then push the chair into the green room then return to the red room then go to the blue room,1,1
go to the red room push the object into the green room return to the red room and then go to the blue room,1,1
go to red room push object to green room go to blue room,1,1
go to red room go to bottom of object push object to green room go to red room go to blue room,1,1
go to red room bring chair to green room go back to red room go back to purple room,1,1
go to red room go to chair push chair to green room go to red room go to blue room,1,1
move into red room and then into green room,1,1
go straight into the red room take dog to green room go to red room go to blue rooom,1,1
go into the pink room and over to the robot then push it up into the green room and return to the pink room and end up in the purple room,1,1
