Commands,Hard Label,Soft Label,
move through the green rooms to get to the blue room,1,1,
Go from the pink room to the blue room by going through the green room.,1,1,
Go through the green room to the blue room,1,1,
Pass through the small green room to get to the large blue room,1,1,
Move to the blue room by going through the green room first.,1,1,
Go into the green room and then go into the yellow room.,,,
use the green path,,,
go through the green room,,,
Move through the green or yellow rooms and enter the blue room.,,,
Move into the blue room through the green room,1,1,
Enter the green room.,,,
travel through the green room to the blue room,1,1,
Travel through the green room.,,,
Go through the green box to get to the blue area.,1,1,
Go through the green room in to the blue room.,1,1,
Enter blue room through green room.,1,1,
Robot goes through green and ends up in blue.,1,1,
"Move into the blue room, but only via the green room.",1,1,
Go through the green room.,,,
go through the green room,,,
Go through the green room to the blue room.,1,1,
Go through the green room into the blue room,1,1,
enter the door to the green room and exit the other door.,,,
Go green.,,,
Enter the blue room through the green door only,1,1,
Follow the green safe room to safety,,,
Go to green room.,,,
The robot must go into the blue room by going through the green room.,1,1,
green,,,
go through the green room to the blue room,1,1,
The only correct way to the room is the green. And it should always go to it.,,,
Right sight,,,
Walk through either the green room or the yellow room to get to the blue room.,,,
Go green,,,
Always go into the green room,,,
Only go through the green room.,,,
Go through the green room,,,
Choose the green room.,,,
Go through green rectangle vertically to touch edge of blue rectangle,,,
Go to the blue area through green area,1,1,
It wants to go where it is marked green,,,
Choose the path that is green.,,,
Only go through the green room.,,,
go through green room,,,
Go to green room before blue room.,1,1,
enter the green room only,,,
FOLLOW THE GREEN PATH,,,
Go to the blue room via the green room.,1,1,
go up through the green box to the blue box,1,1,
Move through the green room.,,,
Go to blue room through green room.,1,1,
Go through the green room.,,,
Pass through the green side,,,
MOVE TOWARDS THE GREEN COLOR HOUSE,,,
Go to the blue room but only go through the green room to get there.,1,1,
Go through the green room into the blue room.,1,1,
Only go through green rooms to get to blue rooms,1,1,
Go towards the green or yellow walkways.,,,
move through the green room,,,
go thru the green path,,,
Go via green color path to reach blue room,1,1,
Proceed through the green room.,,,
Go forward and up to through the green room.,,,
Follow green to blue,,,
Enter through the green path,,,
Go through the green room to get to the blue room.,1,1,
Move through the green room.,,,
go throught the green room and then into the blue room,1,1,
go through the green room,,,
"Move into the blue room while only stepping on pink, white, green, and blue tiles.",,,
Move through the green or yellow rooms and enter the blue room.,,,
go through green to get to blue,1,1,
Go to the green room and then go to the blue room.,1,1,
The robot goes through the green to get to blue.,1,1,
go through the green room,,,
Go to the blue room and make sure to go through the green room.,1,1,
Move through the green room to gain access to the large blue room.,1,1,
Only go to green colored rooms.,,,
Go through the green room to reach the blue room.,1,1,
Pass through the small green room to get to the large blue room,1,1,
enter green room,,,
Move through the green room to the blue room.,1,1,
Go to green room then to blue room.,1,1,
"go into green, not red or yellow",,,
only enter and pass through a room tht is green,,,
Go into the green room.,,,
go through green rooms to get to the blue one,1,1,
go through the green room,,,
Move to the green room and go in.,,,
Go through the green room to the blue room.,1,1,
ACTTION COMMAND OF REAL TIME OF ROBERT TARGET,,,
Move through the green room,,,
pass through the green rom to the blue room,1,1,
go through the green room to the blue room,1,1,
Move through green room to the blue room,1,1,
move the robot from the pink bottom room to the green room and then to the top blue room,,1,1
Go through the green room and into the blue room.,1,1,
"Avoiding all but the green rectangle, travel to the blue area.",1,1,
"Follow the first selected path, do not follow the second path option.",,,
Avoid red and yellow,,,
"move to reach the blue place by taking a path which has green colour and white colour in it while avoiding black, yellow and red colour.",1,1,
Go through the green room,,,
Travel from the pink room to the blue room going through the green room only.,,1,1
Go into the green room and then go back into the green room.,,,
Enter the blue room without entering a red room.,,,
Go through the green room into the blue room,1,1,
Go in the room that is green.,,,
RIGHT AND LEFT,,,
go to green color room,,,
Go through the rooms that are green.,,,
Go through the green room.,,,
"go forward for 2 seconds, turn clockwise then move up for 10 seconds",,,
ACTTION COMMAND OF REAL TIME OF ROBERT TARGET,,,
Only pass through green rooms.,,,
Move to blue room through the green room.,1,1,
Go through the green room.,,,
"Go right and up, then left and up.",,,
Pass through the green room to the blue room.,1,1,
Go to the blue room through the green room,1,1,
Go into the green room.,,,
Go through the green room into the blue room,1,1,
correct,,,
transit green,,,
go thru the green path,,,
Proceed through the green room.,,,
Enter the blue room by going though the green room,1,1,
go through the green room,,,
Go towards the blue room through the green room,1,1,
go through the green room to reach the blue room,1,1,
Move through the green room to the blue room.,1,1,
Go through the green room,,,
The robot goes through green to get to blue.,1,1,
Go into the green room and then into the green room.,,,
Enter the blue room through the green room.,1,1,
Go through the green room.,,,
enter the blue room by way of the green room.,1,1,
Go through the green room,,,
progress through green rectangle room to the large blue room,1,1,
Go through the green room to the blue room.,1,1,
Go to the blue room via the green room.,1,1,
"to reach the blue, go through the green.",1,1,
Enter the green room and exit into the blue room.,1,1,
Travel through the green room to the blue rectangular room.,1,1,
Go through the green and to the blue,1,1,
Green is the correct room to go into.,,,
go through the green room to the blue room,1,1,
The robot went through the green room to the blue room and again through the green room to the blue room.,,,
Go through the room colored green.,,,
move the robot from the pink room to the small green room and then to the large blue room,,1,1
enter blue room via green room,1,1,
Enter the green room.,,,
"Move from the pink room to the blue room, while only passing through the green room.",,1,1
Go through the green room to get to the blue room.,1,1,
Do not go into the yellow or red rooms,,,
robot not entered in to the green way,,,
Go through the green room to the blue room.,1,1,
go up through the green room into the blue room,1,1,
Go through the green room to get to the blue room.,1,1,
Travel from the pink room through the green room to the blue room.,,1,1
Use only the green corridors.,,,
Go through the green room to get to the blue room,1,1,
"Leave the pink room, go through the green room and enter the blue room",,1,1
go through only green path,,,
go to the large blue room,,,
Only go through the green room.,,,
follow the green room to the blue room,1,1,
Go through green rooms,,,
Go to the green square,,,
go to blue via green.,1,1,
first enter the green room and then move to the blue room,1,1,
Go through the green room,,,
"Move toward the green room, then into the blue room.",1,1,
Go through the green room in to the blue room.,1,1,
Move through the green room and into the blue room.,1,1,
Go through the green room into the blue room,1,1,
"white, green, white, blue",,,
go through the green room,,,
go through green to get to blue,1,1,
Move through the green room and out into the blue room.,1,1,
Go through the green room to get to the blue room,1,1,
Exit through the green hallways.,,,
Move through the hallway to the blue room but only if it takes you through a green room.,1,1,
Go through the green room,,,
Go through the green room.,,,
Travel through the green room,,,
Proceed through the green room.,,,
Go into the green room.,,,
Only green is safe,,,
go to the green room then go to the blue room,1,1,
Go through the green room and into the blue room.,1,1,
go to green,,,
green,,,
go to green only,,,
Go through the green room.,,,
Go through the green room to get to the blue room.,1,1,
Go through the green room into the blue room.,1,1,
Go to green then red room.,,,
Move through the green room to get to the blue room.,1,1,
go through green rooms to get to the blue one,1,1,
"Move to the large blue room, by passing through the small green room.",1,1,
pass through the green room,,,
go through green box,,,
,,,
,89,95,
