Commands,Hard Label,Soft Label,
Go to a room that is not blue.,,,
go to the green room but avoid the blue room,1,1,
stay out of the blue room,,,
Go to green without going through blue.,1,1,
Go from the pink room through the yellow room to the green room.,,,
Enter the green room without passing the blue one.,1,1,
Avoid the blue room and move to the green room.,1,1,
Avoid the blue room to get to the green room.,1,1,
move to yellow or red room them move to green room,,1,1
go thru the green path,,,
Robot go through the yellow or red room.,,,
Go through the red and yellow rooms.,,,
Pass through the non blue room to reach the green room.,1,1,
Avoid the blue room when proceeding to the green room.,1,1,
The rovot has to go through the red or yellow room to get to the green room.,,1,1
Don't ever go down the blue path.,,,
Put yourself in the yellow room,,,
Go through the room that isn't blue.,,,
"Go to the green room, but avoid using the blue room.",1,1,
Go through the red or yellow room,,,
for the first go to the red block chamber next go through the yellow bock chamber,,,
"If the path is blue, take the other pathway.",,,
Go through the red or yellow room,,,
follow green to green,,,
peroom tasks in red and yellow rooms only,,,
Move through the room that isn't blue.,,,
Proceed through a room if it is not blue,,,
Go through the yellow or red room and enter the green room,,1,1
Go through the yellow or red room into the green room.,,1,1
go through red or yellow room,,,
go to the green room but don't go through the blue room,1,1,
avoid the blue room,,,
go through the red box and the yellow box,,,
Avoid blue,,,
"enter the room that isn't blue, then go to the green room.",1,1,
Don't go in the blue rooms.,,,
Go to the green room through red and yellow.,,1,1
Go to the yellow then the red room into the blue room.,,,
"Go through red or yellow, but never go through blue.",,,
do not go through the blue room,,,
No blue room.,,,
don't cross blue,,,
Do not go through the blue room.,,,
go through the yellow room and enter the green room,,,
Go through the room that is not blue to the green room,1,1,
Enter the green room without entering a blue room.,1,1,
Do not go to blue room.,,,
Move forward and then rotate 90 degrees clockwise. The move forward into the yellow room and continue in the same direction until you arrive in the green room.,,,
Go to the red room or the yellow room and head straight away to the green room avoiding the blue room.,1,1,
Do not go through the blue room.,,,
The Blue Colors are wrong way to the  Robot and Yellow and Red are correct ways,,,
Go through the yellow room,,,
Go through a door that is not blue in color.,,,
"Go from the pink to the green room, avoiding the blue room.",,1,1
Go through the room that is not blue.,,,
Do not go through the blue room,,,
go thru the yellow or red box to get to the green box,,1,1
Go to the green room using the yellow room.,,,
Go to green but not through blue,1,1,
do not touch blue,,,
go to green room avoiding blue,1,1,
Don't go through the blue room towards the green room,1,1,
Go to green area avoiding blue area,1,1,
not blue,,,
please avoid the blue shaded area.,,,
Do not go through any blue rooms.,,,
Go to the green room while avoiding the blue room on the way.,1,1,
Never travel through the blue path.,,,
"Go to the green room, but do not take the blue room to get there.",1,1,
Pass through red or yellow rooms only.,,,
Avoid the blue,,,
Go through the yellow area,,,
blue is the wrong way to robot,,,
"Avoiding blue, navigate to green.",1,1,
Do not go through the blue room.,,,
Avoid the blue room,,,
Go through either the red or the yellow room to get to the green room,,1,1
Only go through rooms that are not blue to get to the green room.,1,1,
Walk through any room except the blue room to enter the green room.,1,1,
"Move to the large green  room, while avoiding the small blue room.",1,1,
Robot do not go through the room pained blue.,,,
drive through the room that is not blue and enter the green room on the other side.,1,1,
do not take blue,,,
Go through the room which is not blue to get to the green room,1,1,
Get to the green area by avoiding the blue room.,1,1,
Go to green area by avoiding blue area,1,1,
Go to the red room and then into the yellow room.,,,
Blue is the wrong way,,,
Go in yellow room and walk straight to green room,,,
Enter the room that isn't blue and proceed through to the green room.,1,1,
"Travel from the pink room, avoiding the blue room, to the green room.",,1,1
avoid the blue room,,,
Get to the green room through red or yellow rooms only.,,1,1
Enter any room that is not blue.,,,
Blue is not the correct path.,,,
Go through the room that is not blue.,,,
avoid the blue room,,,
Go into green room but avoid blue room.,1,1,
Go to the green room while avoiding the blue room,1,1,
move the robot through the yellow or red small room and then to the large green room,,1,1
Do not go through the blue room.,,,
Move to the green room without using the blue room.,1,1,
Go through the yellow and red room to the green room,,1,1
Go to the green room while avoiding the blue room.,1,1,
go through the red or yellow room,,,
Avoid the blue room to reach the green room.,1,1,
Enter the yellow or red room and proceed to the green room.,,1,1
Move to the green room by going through the yellow or red room.,,1,1
Blue is wrong wave,,,
go to the large green room,,,
Go through the yellow room to the green room,,,
Move through the yellow or red room to the green room.,,1,1
"Move across the hall, if you see red or yellow room go through it",,,
non-blue,,,
Avoid the blue area.,,,
Go through the room that is not blue.,,,
Go to the green room without entering a blue room.,1,1,
Do not go into the blue room.,,,
Use the YELLOW room pathway.,,,
Go to yellow room then to green room.,,,
Go from the pink room to the green room but do not enter the blue room.,,1,1
Do not cross the blue side.,,,
go towards yellow or red,,,
avoid the blue room,,,
go through the yellow or red room to the green room,,1,1
Travel to the green room without going through the blue room.,1,1,
Go through the room that is not blue,,,
The robot does not go into blue rooms because they are unsafe.,,,
Travel to the green room through the room that isn't blue.,1,1,
Go to the green room through the room that is not blue.,1,1,
Enter any room that isn't blue to end up in the green room.,1,1,
Pass through yellow block,,,
go up through the yellow room into the green room,,,
Avoid blue rooms,,,
Go through the yellow or red room to reach the green room.,,1,1
"Robot enter through the red room following the green arrow to end at a green room,Bot i need you to go through the yellow room following the green arrow to end up in big green room",,,
Proceed through any room that is not blue.,,,
"Move to the hallway that leads to the yellow room, then through it to he green room.",,,
Go through the room that is not blue.,,,
"Go into the green room, but do not enter the blue room.",1,1,
Only go through the red or yellow to get to the green.,,1,1
Go to the green room without passing through the blue room.,1,1,
Go through the room that is not blue.,,,
Do not enter the blue room.,,,
Go through the room that isn't blue and enter the green room.,1,1,
Go through non-blue rooms,,,
Avoid the blue path,,,
Do not pass through the blue room,,,
Avoid the blue room and continue to the green room,1,1,
Go to the green room while avoiding the blue room,1,1,
"Move to the large green  room, while avoiding the small blue room.",1,1,
avoid blue rooms,,,
go to the large room at the end of the square,,,
move the robot from the pink room to the blue room to the small yellow room and then to the large green room,,,
Go towards the green room while avoiding the blue room,1,1,
Go to Green,,,
Pass through the non blue room to enter the green room.,1,1,
Go to the green room but do not enter the blue room.,1,1,
"Move from the pink room to the green room, but do not enter the blue room at any time.",,1,1
"Go to the green room, while avoiding the blue room on the way.",1,1,
Go to green without going through blue.,1,1,
Do not go through the blue room.,,,
Go into the red room and then in the yellow room.,,,
Go through yellow or red square to get to green square,,1,1
avoid blue,,,
Move to the green room without entering a blue room.,1,1,
go through the yellow or red room to reach the green room,,1,1
Go from the pink room to the green room without going through the blue one,,1,1
Enter the yellow room.,,,
go through red or yellow to get to green,,1,1
